hash,filename,found_in_folders,0,01_Hongo podrido,02_Magullado,03_Sobre maduro,04_Inmadura albina,05_Cenicilla bronceada,06_Presencia y daño de insecto,07_Deforme,n_labels
3492da599c6e5622afcbff25bb4196fc,0ff44559-e02f-4cf5-910c-a1d082448b4f_BQG.png,"04_Inmadura albina, 05_Cenicilla bronceada, 07_Deforme",0,0,0,0,1,1,0,1,3
b6bb2bb1b6cc4801b38c948519da8d61,cdf2f50a-5b09-4306-89d8-e5547314692e_MrB.png,"01_Hongo podrido, 04_Inmadura albina, 07_Deforme",0,1,0,0,1,0,0,1,3
928bb59474aa2be6ede83a051d941a3d,d0b0acb4-43f4-472b-b153-c4592ecfc276_1gw.png,"01_Hongo podrido, 04_Inmadura albina, 07_Deforme",0,1,0,0,1,0,0,1,3
7d992d0143cfc026b635a831482e0917,6ae7b07b-eeb0-4c97-b5e7-4ad142832a58_bwH.png,"01_Hongo podrido, 04_Inmadura albina, 07_Deforme",0,1,0,0,1,0,0,1,3
ed20a56752fd3cc639904420d16917cb,fd3537a8-6556-4760-aa6f-86ff24985f59_8AO.png,"01_Hongo podrido, 04_Inmadura albina, 07_Deforme",0,1,0,0,1,0,0,1,3
714d43bed4bd5d5cf19c1bd03a7d5dcc,173b57ba-8bf0-40ae-92f8-4c583291c39f_H77.png,"02_Magullado, 04_Inmadura albina, 07_Deforme",0,0,1,0,1,0,0,1,3
e649bb63cfa531c3b3bc2fc37bae82ee,fb8632b0-81a6-462c-8992-f8841f9632aa_2cA.png,"02_Magullado, 04_Inmadura albina, 07_Deforme",0,0,1,0,1,0,0,1,3
cd2f8383a34dba041a0ff502b83d9858,ee97bee2-5de6-4a6d-8a58-81b6b2d151da_oho.png,"01_Hongo podrido, 04_Inmadura albina, 07_Deforme",0,1,0,0,1,0,0,1,3
5dfa3f62cb18dc212f6dab667c56a999,6058d145-28c8-476b-a350-6f6f86d66aec_aCi.png,"01_Hongo podrido, 04_Inmadura albina, 07_Deforme",0,1,0,0,1,0,0,1,3
0ea8551a25bcca9a086e3a6400a4f1c7,IMG_0369_ewz.png,"04_Inmadura albina, 05_Cenicilla bronceada, 07_Deforme",0,0,0,0,1,1,0,1,3
49ba4bf116c4dde7de7d822872ad9a56,fd3537a8-6556-4760-aa6f-86ff24985f59_utI.png,"01_Hongo podrido, 04_Inmadura albina, 07_Deforme",0,1,0,0,1,0,0,1,3
ff93c0a81b56b35bf5efd0bb90e45c12,fedbe89b-f8f3-43fa-9301-aad3d2504a7a_-Sh.png,"01_Hongo podrido, 04_Inmadura albina, 07_Deforme",0,1,0,0,1,0,0,1,3
472d3fded347fa9bc79fdf243a036554,IMG_0433_w7g.png,"04_Inmadura albina, 05_Cenicilla bronceada, 07_Deforme",0,0,0,0,1,1,0,1,3
00758db9f9cc5079a933f450c0007962,inbound7280002282876892968_w7F.png,"03_Sobre maduro, 07_Deforme",0,0,0,1,0,0,0,1,2
6b0ff0099a43a607dd7cb1ebb7894a1d,WhatsApp Image 2026-02-26 at 4_L8K.png,"04_Inmadura albina, 07_Deforme",0,0,0,0,1,0,0,1,2
15c02612e007b262adf09deee6da81bc,WhatsApp Image 2026-02-26 at 4_eEq.png,"04_Inmadura albina, 07_Deforme",0,0,0,0,1,0,0,1,2
5702bae19333aa2327282812e140a9ad,WhatsApp Image 2026-02-26 at 4_XhU.png,"04_Inmadura albina, 07_Deforme",0,0,0,0,1,0,0,1,2
8136160896b772321417871787af7995,WhatsApp Image 2026-02-26 at 4_0fa.png,"04_Inmadura albina, 07_Deforme",0,0,0,0,1,0,0,1,2
763ed6f26296927e76683c00889c5a26,fresa20_wMj.png,"03_Sobre maduro, 07_Deforme",0,0,0,1,0,0,0,1,2
828681c58dc0a2d57d08a2fefbee23ca,WhatsApp Image 2026-02-25 at 5_bQR.png,"03_Sobre maduro, 07_Deforme",0,0,0,1,0,0,0,1,2
5036b9b265815b80a7accc7bfbdd9e06,WhatsApp Image 2026-02-25 at 5_XLe.png,"03_Sobre maduro, 07_Deforme",0,0,0,1,0,0,0,1,2
775030d5bb0f0b2e55a743e44eec4b5b,WhatsApp Image 2026-02-26 at 4_Uud.png,"04_Inmadura albina, 07_Deforme",0,0,0,0,1,0,0,1,2
2f7f7379c34683de0d1b888a4ccd0ea4,WhatsApp Image 2026-02-26 at 4_RE9.png,"04_Inmadura albina, 07_Deforme",0,0,0,0,1,0,0,1,2
9339bfcc34ae0fa4d6389be22325854c,WhatsApp Image 2026-02-26 at 4_ipY.png,"04_Inmadura albina, 07_Deforme",0,0,0,0,1,0,0,1,2
152cca59eb99c2dfadfb16e55430e304,inbound5495334465965894289_I7T.png,"03_Sobre maduro, 07_Deforme",0,0,0,1,0,0,0,1,2
8a7b5defb86d217af7958d4c84b08850,WhatsApp Image 2026-02-25 at 5_SrQ.png,"03_Sobre maduro, 07_Deforme",0,0,0,1,0,0,0,1,2
fb97cf96b2a561524d0f3fb6e75bbf8a,WhatsApp Image 2026-02-25 at 5_ui-.png,"03_Sobre maduro, 07_Deforme",0,0,0,1,0,0,0,1,2
7d4ac2fe695a7133f67b88577f8dc0a3,fresa_343_4Kq.png,"04_Inmadura albina, 07_Deforme",0,0,0,0,1,0,0,1,2
53b1bf8c1525b2ffa992852aaae9246c,WhatsApp Image 2026-02-25 at 5_vl5.png,"03_Sobre maduro, 07_Deforme",0,0,0,1,0,0,0,1,2
e6869e01029353304da006d3935e5b08,WhatsApp Image 2026-02-26 at 4_GPE.png,"04_Inmadura albina, 07_Deforme",0,0,0,0,1,0,0,1,2
a6f2cd6c3fb8b21dbee6d7b6d17ec2eb,inbound3168189848684186905_8p8.png,"03_Sobre maduro, 07_Deforme",0,0,0,1,0,0,0,1,2
4ddc15e03fb8938adfc42a5119513600,WhatsApp Image 2026-02-26 at 9_yIl.png,"03_Sobre maduro, 07_Deforme",0,0,0,1,0,0,0,1,2
552525dd8c3150ca437023a930e235ea,WhatsApp Image 2026-02-26 at 4_hub.png,"04_Inmadura albina, 07_Deforme",0,0,0,0,1,0,0,1,2
da8683924a89db9cac3e68caf27e64c6,inbound5495334465965894289_XB6.png,"03_Sobre maduro, 07_Deforme",0,0,0,1,0,0,0,1,2
39db66f88d270dd7848914e13ee2390e,WhatsApp Image 2026-02-26 at 4_Jl4.png,"04_Inmadura albina, 07_Deforme",0,0,0,0,1,0,0,1,2
685d4ae7507e80180f313087343dcc08,fresa39_fl8.png,"04_Inmadura albina, 07_Deforme",0,0,0,0,1,0,0,1,2
cb1b346dbf36345e05649064907f7837,WhatsApp Image 2026-02-26 at 4_6Sf.png,"04_Inmadura albina, 07_Deforme",0,0,0,0,1,0,0,1,2
7dfab2115fff1c772889d7262b16d031,WhatsApp Image 2026-02-26 at 4_Tix.png,"04_Inmadura albina, 07_Deforme",0,0,0,0,1,0,0,1,2
66701b88674e545588d8793d62d2bf88,IMG_0441_Z3B.png,"04_Inmadura albina, 07_Deforme",0,0,0,0,1,0,0,1,2
af581392fe4034757cf87cd00be612c3,c7283046-f55a-4cb5-8de4-f7d8816252f0_yYz.png,"02_Magullado, 07_Deforme",0,0,1,0,0,0,0,1,2
